"Adressformat";"geänd durch";"ÄndDatum";"ÄndZeit";"angel durch";"AnlDatum";"AnlZt";"Ansprechformat";"Anzeige Ortsformat";"DatDarstlg";"DatF";"UIC";"IBAN-Format";"LC";"LKZa";"num Fm";"Ortsformat";"Postfachformat";"S_Staat_Obj";"Warenpräferenztext";"Sta";"Straßenformat";"NKSs";"UStID-Format";"Bezeichnung";"KurzBez"
"";"";;"";"System";18.08.2014;"12:56:53";"";"&S &P &O";" ----------";"Tag/Monat/Jahr";000;"AD99 9999 9999 NNNN NNNN NNNN";"AD";043;"europäisch";"&O - CP: &S&P";"&F";"PA0649:pA:8acea1a7002696acdc1116b9864ea5b4";"";"AD";"&T, &N";2;"";"Andorra";"Andorr"
"";"";;"";"System";18.08.2014;"12:56:53";"";"&S &P &O";" ----------";"Jahr/Monat/Tag";000;"AE99 9999 9999 9999 9999 999";"AE";647;"amerikanisch";"&O &P";"P.O. Box &F";"PA0649:pA:8acea1a7002696acdc1116b9884ea5b4";"";"AE";"&N &T";2;"";"Vereinigte Arabische Emirate";"A Emir"
"";"";;"";"System";18.08.2014;"12:56:53";"";"&S &P &O";" ----------";"Jahr/Monat/Tag";000;"";"AF";660;"amerikanisch";"&O &P";"&F";"PA0649:pA:8acea1a7002696acdc1116b942eca2b4";"";"AF";"&N &T";2;"";"Afghanistan";"Afghani"
"";"";;"";"System";18.08.2014;"12:56:53";"";"&S &P &O";" ----------";"Monat/Tag/Jahr";000;"";"AG";459;"amerikanisch";"&O &P";"P.O. Box &F";"PA0649:pA:8acea1a7002696acdc1116b98f4ea5b4";"";"AG";"&N &T";2;"";"Antigua und Barbuda";"Antigu"
"";"";;"";"System";18.08.2014;"12:56:53";"";"&S &P &O";" ----------";"Monat/Tag/Jahr";000;"";"AI";446;"amerikanisch";"&O &P";"P.O. Box &F";"PA0649:pA:8acea1a7002696acdc1116b944eca2b4";"";"AI";"&N &T";2;"";"Anguilla";"Anguil"
"";"";;"";"System";18.08.2014;"12:56:53";"";"&S &P &O";" ----------";"Tag/Monat/Jahr";000;"AL99 9999 9999 NNNN NNNN NNNN NNNN";"AL";070;"europäisch";"&O &P";"&F";"PA0649:pA:8acea1a7002696acdc1116b9854ea5b4";"";"AL";"&T, Nr.&N";2;"";"Albanien";"Alban"
"";"";;"";"System";18.08.2014;"12:56:53";"";"&S &P &O";" ----------";"Tag/Monat/Jahr";000;"";"AM";077;"europäisch";"&O &P";"&F";"PA0649:pA:8acea1a7002696acdc1116b98a4ea5b4";"";"AM";"&N &T";2;"";"Armenien";"Armen"
"";"";;"";"System";18.08.2014;"12:56:53";"";"&S &P &O";" ----------";"Tag/Monat/Jahr";000;"";"AN";478;"europäisch";"&P &O";"Postbus &F";"PA0649:pA:8acea1a7002696acdc1116b9874ea5b4";"";"AN";"&T &N";2;"";"Niederländische Antillen";"Antille"
"";"";;"";"System";18.08.2014;"12:56:53";"";"&S &P &O";" ----------";"Tag/Monat/Jahr";000;"";"AO";330;"europäisch";"&O &P";"&F";"PA0649:pA:8acea1a7002696acdc1116b943eca2b4";"";"AO";"&N, &T";2;"";"Angola";"Angola"
"";"";;"";"System";18.08.2014;"12:56:53";"";"&S &P &O";" ----------";"Monat/Tag/Jahr";000;"";"AQ";891;"amerikanisch";"&O &P";"P.O. Box &F";"PA0649:pA:8acea1a7002696acdc1116b98d4ea5b4";"";"AQ";"&N &T";2;"";"Antarktis";"Antark"
"";"";;"";"System";18.08.2014;"12:56:53";"";"&S &P &O";" ----------";"Tag/Monat/Jahr";000;"";"AR";528;"europäisch";"(&P) &O";"&F";"PA0649:pA:8acea1a7002696acdc1116b9894ea5b4";"";"AR";"&T &N";2;"";"Argentinien";"Argent"
"";"";;"";"System";18.08.2014;"12:56:53";"";"&S &P &O";" ----------";"Jahr/Monat/Tag";000;"";"AS";830;"amerikanisch";"&O &P";"P.O. Box &F";"PA0649:pA:8acea1a7002696acdc1116b98c4ea5b4";"";"AS";"&N &T";2;"";"Amerikanisch-Samoa";"Asamoa"
"";"";;"";"System";18.08.2014;"12:56:53";"";"&S &P &O";" ----------";"Tag/Monat/Jahr";000;"AT99 9999 9999 9999 9999";"AT";038;"europäisch";"&P &O";"Postfach &F";"PA0649:pA:8acea1a7002696acdc1116b99c4ea5b4";"";"AT";"&T &N";2;"ATU99999999";"Österreich";"Öster"
"";"";;"";"System";18.08.2014;"12:56:53";"";"&S &P &O";" ----------";"Tag/Monat/Jahr";000;"";"AU";800;"amerikanisch";"&O &L &P";"GPO Box &F";"PA0649:pA:8acea1a7002696acdc1116b9904ea5b4";"";"AU";"&N &T";2;"";"Australien";"Austri"
"";"";;"";"System";18.08.2014;"12:56:53";"";"&S &P &O";" ----------";"Tag/Monat/Jahr";000;"";"AW";474;"europäisch";"&O &P";"Postbus &F";"PA0649:pA:8acea1a7002696acdc1116b941eca2b4";"";"AW";"&T &N";2;"";"Aruba";"Aruba"
"";"";;"";"System";18.08.2014;"12:56:53";"";"&S &P &O";" ----------";"Tag/Monat/Jahr";000;"AZ99 AAAA NNNN NNNN NNNN NNNN NNNN";"AZ";078;"europäisch";"&O, &S&P";"&F";"PA0649:pA:8acea1a7002696acdc1116b9914ea5b4";"";"AZ";"&N &T";2;"";"Aserbaidschan";"Aserb"
